range sp1 sp2 sp3 sp4 sp5 sp6 sp7 sp8 sp9 sp10 median_gnd mean_gnd qdist qscore_resolved qscore_unresolved both_resolved both_unresolved
13.5_18.5 AG-911-E05 AG-916-K14 AG-912-D17 AG-349-C11 AG-912-J06 AG-913-I14 AG-920-I07 AG-895-E15 AG-903-M21 AG-914-J05 17.2451 17.3223 0.666667 0 70 0 210
13.5_18.5 AG-911-P04 AG-333-D08 AG-410-L19 AH-324-I20 AG-426-I10 AG-422-J03 AH-321-P04 AG-325-C18 AG-915-C08 AG-390-O04 19.2098 19.0804 0.666667 0 70 0 210
13.5_18.5 AG-915-B23 AG-912-J06 AG-916-L09 AG-905-B19 AG-917-N08 AG-896-O16 AG-913-I14 AG-349-F22 AG-919-M05 AG-914-J05 16.76 16.8468 0.666667 0 70 0 182
13.5_18.5 AG-915-B23 AG-349-C11 AG-349-F22 AG-911-E05 AG-916-K14 AG-912-D17 AG-912-J06 AG-916-L09 AG-913-I14 AG-920-I07 17.658 17.4928 0.666667 0 70 0 210
13.5_18.5 AG-422-C13 AG-892-C08 AG-430-J07 AH-321-K15 AG-426-I10 AG-390-E04 AG-359-P18 AG-390-M07 AG-325-E08 AG-325-L05 19.5091 19.2887 0.666667 0 70 0 210
13.5_18.5 AG-447-K09 AG-337-G21 AH-321-D17 AH-321-P04 AH-321-K15 AG-893-P10 AG-325-L02 AG-333-D08 AG-390-O04 AG-325-L05 19.6873 19.4998 0.666667 0 70 0 182
14.0_19.0 AG-918-M15 AG-349-C11 AH-287-I04 AG-911-E05 AG-912-D17 AG-916-L09 AG-905-B19 AG-920-I07 AG-917-N08 AG-896-O16 16.5563 16.678 0.666667 0 70 0 210
14.0_19.0 AH-324-K07 AG-325-L05 AG-422-G15 AG-410-L19 AG-422-J03 AG-908-F20 AG-894-B13 AG-359-F04 AH-287-E08 AG-920-C09 20.3187 20.0747 0.666667 0 70 0 182
14.0_19.0 AG-447-P19 AG-891-O15 AG-919-F21 AG-439-N16 AH-326-G20 AG-917-K20 AG-917-F18 AG-453-G04 AG-422-F15 AG-910-G11 15.4658 15.6495 0.653968 4 68.6667 4 104
14.0_19.0 AG-453-G04 AG-422-F15 AG-919-F21 AG-439-N16 AG-918-N23 AG-447-P19 AG-891-O15 AH-326-G20 AG-917-K20 AG-910-G11 15.6517 16.2032 0.660317 2 69.3333 2 129
14.0_19.0 AG-453-G04 AG-422-F15 AG-918-N23 AG-919-F21 AG-313-A04 AG-349-N13 AG-891-O15 AG-447-P19 AG-917-K20 AG-910-G11 16.1549 16.3508 0.666667 0 70 0 182
14.0_19.0 AG-447-P19 AG-891-O15 AG-919-F21 AG-439-N16 AH-326-G20 AG-917-K20 AG-917-F18 AG-453-G04 AG-422-F15 AG-910-G11 15.4658 15.6495 0.653968 4 68.6667 4 104
14.0_19.0 AG-915-B23 AG-903-M21 AG-910-C16 AG-913-I14 AG-920-I07 AH-287-E19 AG-916-K14 AG-912-D17 AG-919-I13 AG-914-J05 17.4189 17.5773 0.666667 0 70 0 210
14.0_19.0 AG-447-K09 AG-349-E20 AG-390-E21 AG-359-P18 AG-410-L19 AG-390-E04 AG-894-L13 AH-324-I20 AH-324-K07 AG-447-F10 19.937 19.6039 0.666667 0 70 0 210
14.0_19.0 AG-453-G04 AG-422-F15 AG-919-F21 AG-439-N16 AG-918-N23 AG-349-N13 AG-891-O15 AG-447-P19 AH-326-G20 AG-917-K20 15.7475 16.3418 0.660317 2 69.3333 2 129
14.0_19.0 AG-920-C09 AH-321-K15 AH-287-E08 AG-426-I10 AG-325-C18 AG-325-J17 AG-333-M03 AG-390-O04 AH-321-N11 AG-422-G15 19.7695 19.6377 0.666667 0 70 0 147
14.0_19.0 AG-918-M15 AG-349-C11 AG-916-K14 AG-895-E15 AG-905-B19 AH-287-E19 AG-917-N08 AG-896-O16 AG-913-I14 AG-915-B23 17.6047 17.5756 0.666667 0 70 0 210
14.0_19.0 AG-410-K05 AG-333-M03 AH-321-N11 AG-447-N08 AH-321-P04 AG-430-J07 AG-908-O10 AH-287-E08 AG-426-I10 AG-915-C08 19.7652 19.7571 0.666667 0 70 0 182
14.0_19.0 AG-453-G04 AG-422-F15 AG-349-N13 AG-891-O15 AG-447-P19 AG-919-F21 AG-313-A04 AG-439-N16 AH-326-G20 AG-917-K20 15.7475 16.0211 0.660317 2 69.3333 2 129
14.0_19.0 AG-447-N08 AG-390-E21 AG-894-B07 AG-915-C08 AG-896-C18 AH-321-K15 AG-894-B13 AH-287-E08 AG-422-J03 AG-894-I19 19.5555 19.4761 0.666667 0 70 0 210
14.0_19.0 AG-915-B23 AG-912-J06 AG-905-B19 AH-287-E19 AG-896-O16 AG-920-I07 AG-903-M21 AG-912-D17 AG-919-I13 AG-911-E05 17.2122 17.3847 0.666667 0 70 0 210
14.0_19.0 AG-918-N23 AG-313-A04 AG-349-N13 AG-891-O15 AG-447-P19 AH-326-G20 AG-917-F18 AG-453-G04 AG-422-F15 AG-910-G11 16.6281 16.6009 0.666667 0 70 0 182
14.0_19.0 AG-916-K14 AG-919-I13 AG-911-E05 AG-919-M05 AG-903-M21 AG-910-C16 AG-913-I14 AG-920-I07 AG-917-N08 AG-896-O16 16.7511 16.7954 0.666667 0 70 0 182
14.0_19.0 AG-447-K09 AG-349-E20 AG-390-E21 AG-920-C09 AH-324-I20 AG-908-F20 AG-422-C13 AG-325-L02 AG-333-D08 AH-321-N11 20.0338 19.6369 0.666667 0 70 0 210
14.0_19.0 AG-915-B23 AG-912-J06 AG-910-C16 AG-913-I14 AG-920-I07 AG-896-O16 AG-916-L09 AG-895-E15 AG-903-M21 AG-919-M05 17.1245 16.9686 0.666667 0 70 0 182
14.0_19.0 AG-915-B23 AG-895-E15 AG-903-M21 AG-910-C16 AG-905-B19 AG-920-I07 AG-911-G13 AG-916-L09 AG-919-M05 AG-914-J05 17.0501 16.9109 0.666667 0 70 0 182
14.0_19.0 AG-918-M15 AG-349-C11 AG-919-M05 AG-912-D17 AG-895-E15 AG-910-C16 AH-287-E19 AG-917-N08 AG-920-I07 AG-915-B23 17.5355 17.6631 0.666667 0 70 0 210
14.0_19.0 AG-349-C11 AH-287-I04 AG-916-K14 AG-919-I13 AG-911-E05 AG-903-M21 AG-910-C16 AG-905-B19 AG-920-I07 AG-917-N08 16.9638 17.0116 0.666667 0 70 0 182
14.0_19.0 AG-919-F21 AG-439-N16 AG-918-N23 AG-891-O15 AH-326-G20 AG-917-K20 AG-917-F18 AG-453-G04 AG-422-F15 AG-910-G11 15.4658 15.7697 0.666667 0 70 0 155
14.0_19.0 AG-911-E05 AG-919-I13 AG-349-F22 AH-287-I04 AG-895-E15 AG-903-M21 AG-905-B19 AG-920-I07 AG-896-O16 AG-914-J05 17.1158 17.0745 0.666667 0 70 0 182
14.0_19.0 AG-447-K09 AG-390-D15 AG-422-C13 AG-892-C08 AG-390-E04 AG-894-B13 AG-359-F04 AG-333-D08 AG-333-M03 AG-447-O23 20.4002 19.9802 0.666667 0 70 0 182
14.0_19.0 AG-916-K14 AG-912-D17 AG-919-M05 AG-895-E15 AG-903-M21 AG-916-L09 AG-905-B19 AH-287-E19 AG-917-N08 AG-896-O16 17.1229 17.1956 0.666667 0 70 0 210
14.0_19.0 AG-915-B23 AG-349-C11 AG-349-F22 AG-919-M05 AG-916-K14 AG-912-J06 AG-910-C16 AG-920-I07 AG-896-O16 AG-895-E15 17.9222 17.7814 0.666667 0 70 0 182
14.0_19.0 AG-447-K09 AG-390-E21 AG-430-J07 AG-894-I19 AH-287-E08 AG-325-C18 AG-422-C13 AG-909-G08 AH-321-N11 AH-321-L23 19.7296 19.4753 0.666667 0 70 0 210
14.0_19.0 AG-439-N16 AG-313-A04 AG-918-N23 AG-349-N13 AG-891-O15 AG-447-P19 AG-917-K20 AG-917-F18 AG-453-G04 AG-910-G11 16.1287 16.3657 0.666667 0 70 0 182
14.0_19.0 AG-919-F21 AG-439-N16 AG-918-N23 AG-349-N13 AG-891-O15 AG-447-P19 AG-917-K20 AG-917-F18 AG-422-F15 AG-910-G11 15.5146 16.1492 0.666667 0 70 0 182
14.0_19.0 AG-912-D17 AG-919-I13 AH-287-I04 AG-895-E15 AG-903-M21 AG-910-C16 AG-905-B19 AH-287-E19 AG-917-N08 AG-911-G13 16.8519 16.9797 0.666667 0 70 0 182
14.0_19.0 AG-910-G11 AG-919-F21 AG-313-A04 AG-439-N16 AG-918-N23 AG-447-P19 AG-891-O15 AH-326-G20 AG-917-K20 AG-917-F18 16.1287 16.3276 0.634921 10 66.6667 10 74
14.0_19.0 AG-410-K05 AG-447-O23 AH-321-L23 AG-390-O04 AG-325-C18 AH-321-K15 AG-422-J03 AG-325-L02 AG-333-D08 AG-390-E21 19.7641 19.7346 0.666667 0 70 0 210
14.0_19.0 AG-917-F18 AG-349-N13 AG-891-O15 AG-447-P19 AG-919-F21 AG-313-A04 AG-439-N16 AG-453-G04 AG-422-F15 AG-910-G11 15.698 15.9347 0.660317 2 69.3333 2 129
14.0_19.0 AG-410-K05 AH-321-N11 AG-447-N08 AG-325-C18 AG-422-J03 AG-894-I19 AG-359-F04 AH-287-E08 AG-422-C13 AG-903-E15 19.662 19.4733 0.666667 0 70 0 210
14.0_19.0 AG-915-B23 AG-349-C11 AH-287-I04 AG-916-K14 AG-912-D17 AG-912-J06 AG-910-C16 AG-905-B19 AG-920-I07 AG-916-L09 17.2602 17.0511 0.666667 0 70 0 182
14.0_19.0 AG-447-N08 AG-359-P18 AG-920-C09 AG-390-E04 AG-422-J03 AG-894-I19 AG-913-E11 AG-426-I10 AG-905-M18 AG-390-O04 19.6348 19.228 0.666667 0 70 0 210
14.0_19.0 AG-422-C13 AG-915-C08 AG-892-C08 AG-430-J07 AG-896-C18 AG-892-K05 AG-325-L02 AG-333-D08 AG-390-O04 AH-321-N11 19.9864 19.9348 0.666667 0 70 0 210
14.0_19.0 AG-915-B23 AG-912-D17 AG-919-I13 AG-911-E05 AG-919-M05 AG-912-J06 AG-910-C16 AG-905-B19 AG-920-I07 AH-287-E19 16.8735 17.1373 0.666667 0 70 0 210
14.0_19.0 AG-430-J07 AG-390-E04 AG-894-B13 AG-325-C18 AG-915-C08 AG-893-P10 AG-359-P18 AG-447-K09 AG-390-O04 AH-324-K07 20.0188 19.7757 0.666667 0 70 0 210
14.0_19.0 AG-453-G04 AG-422-F15 AG-919-F21 AG-313-A04 AG-439-N16 AG-918-N23 AG-447-P19 AG-891-O15 AG-917-K20 AG-910-G11 16.1287 16.2952 0.663492 1 69.6667 1 155
14.0_19.0 AG-430-K05 AG-333-M03 AG-390-O04 AH-324-K07 AG-895-B06 AG-430-J07 AG-894-I19 AG-325-C18 AG-915-C08 AG-359-P18 19.736 19.6597 0.666667 0 70 0 182
14.0_19.0 AG-919-F21 AG-313-A04 AG-439-N16 AG-918-N23 AG-891-O15 AH-326-G20 AG-917-F18 AG-453-G04 AG-422-F15 AG-910-G11 15.698 16.0547 0.663492 1 69.6667 1 155
14.0_19.0 AG-447-N08 AG-447-K09 AG-325-J17 AH-287-G05 AG-909-G08 AG-920-C09 AH-324-I20 AG-422-J03 AG-359-P18 AG-390-O04 19.6042 19.2909 0.577778 28 60.6667 28 182
14.0_19.0 AG-919-F21 AG-313-A04 AG-439-N16 AG-918-N23 AG-349-N13 AG-891-O15 AG-447-P19 AH-326-G20 AG-422-F15 AG-910-G11 16.6102 16.516 0.666667 0 70 0 155
14.0_19.0 AG-447-N08 AG-390-E21 AG-337-G21 AG-920-C09 AG-430-J07 AG-422-J03 AG-422-C13 AG-390-O04 AH-324-K07 AG-325-L05 19.332 19.3379 0.666667 0 70 0 210
14.0_19.0 AG-918-M15 AG-911-E05 AG-912-D17 AG-919-M05 AG-910-C16 AG-905-B19 AH-287-E19 AG-917-N08 AG-913-I14 AG-915-B23 16.1874 16.6944 0.666667 0 70 0 210
14.0_19.0 AG-390-M07 AG-390-E21 AG-422-C13 AG-915-C08 AH-324-I20 AG-894-B13 AG-908-O10 AG-325-L02 AG-447-P22 AG-390-O04 19.6205 19.5349 0.666667 0 70 0 210
14.0_19.0 AG-919-F21 AG-439-N16 AG-918-N23 AG-447-P19 AG-891-O15 AH-326-G20 AG-917-K20 AG-917-F18 AG-422-F15 AG-910-G11 15.698 16.1882 0.663492 1 69.6667 1 155
14.0_19.0 AG-919-F21 AG-313-A04 AG-439-N16 AG-918-N23 AG-447-P19 AG-891-O15 AH-326-G20 AG-917-F18 AG-422-F15 AG-910-G11 16.2123 16.4592 0.666667 0 70 0 155
14.5_19.5 AG-422-F15 AG-915-B23 AG-911-E05 AH-287-I04 AG-919-M05 AG-912-J06 AG-910-C16 AG-920-I07 AG-903-M21 AG-349-N13 17.4442 18.2223 0.666667 0 70 0 182
14.5_19.5 AG-910-G11 AG-313-A04 AG-915-B23 AG-349-C11 AG-916-K14 AG-895-E15 AH-287-E19 AG-914-J05 AG-918-N23 AG-349-N13 20.3469 19.6558 0.666667 0 70 0 182
14.5_19.5 AG-430-K05 AG-325-L05 AG-390-I17 AG-447-K09 AG-390-E21 AG-917-K06 AG-410-L19 AH-321-K15 AG-899-M07 AG-920-C09 19.7264 19.5078 0.666667 0 70 0 182
14.5_19.5 AG-325-L02 AG-896-C18 AH-324-I20 AG-894-B13 AG-909-I04 AG-447-N18 AG-390-O04 AH-324-K07 AG-325-L05 AG-447-F10 20.1802 20.1319 0.666667 0 70 0 210
14.5_19.5 AH-326-G20 AG-349-C11 AG-349-F22 AG-919-I13 AG-912-J06 AH-287-E19 AG-917-N08 AG-896-O16 AG-920-I07 AG-917-F18 19.2113 19.1119 0.663492 1 69.6667 1 155
14.5_19.5 AG-313-A04 AG-911-E05 AG-912-D17 AG-919-M05 AG-910-C16 AG-905-B19 AH-287-E19 AG-918-N23 AG-447-P19 AG-349-N13 20.0657 19.1499 0.690476 0 65 15 107
14.5_19.5 AG-918-N23 AG-439-N16 AG-349-F22 AG-919-M05 AG-911-E05 AG-912-J06 AG-916-L09 AG-910-C16 AG-903-M21 AG-447-P19 18.6681 18.7946 0.666667 0 70 0 182
14.5_19.5 AG-430-K05 AH-324-K07 AG-447-K09 AG-349-E20 AG-920-C09 AG-430-J07 AG-914-L04 AG-894-B13 AG-894-L13 AG-422-C13 20.1739 20.018 0.666667 0 70 0 210
14.5_19.5 AG-447-K09 AG-349-E20 AG-426-K19 AG-422-C13 AG-426-B11 AH-321-K15 AG-426-I10 AG-899-M07 AG-894-I19 AG-410-K05 19.7922 19.5818 0.666667 0 70 0 210
14.5_19.5 AG-313-A04 AG-915-B23 AG-919-F21 AG-918-M15 AG-895-E15 AG-903-M21 AG-912-J06 AG-912-D17 AG-349-N13 AH-326-G20 20.3579 19.0438 0.634921 10 66.6667 10 92
14.5_19.5 AG-430-K05 AH-321-N11 AH-324-K07 AG-447-K09 AG-920-C09 AH-324-I20 AH-321-K15 AH-287-E08 AG-325-C18 AG-915-C08 19.479 19.3864 0.577778 28 60.6667 28 182
14.5_19.5 AG-447-N08 AG-893-P10 AG-896-C18 AG-894-B13 AH-287-E08 AG-426-I10 AG-422-J03 AG-359-P18 AG-919-C02 AG-325-L05 20.0054 19.6755 0.666667 0 70 0 210
14.5_19.5 AG-918-N23 AG-911-E05 AG-919-I13 AG-919-M05 AG-903-M21 AG-910-C16 AG-920-I07 AG-911-G13 AH-326-G20 AG-422-F15 18.2958 18.9039 0.666667 0 70 0 122
14.5_19.5 AG-410-L19 AG-915-K17 AG-426-I10 AG-894-B13 AH-321-P04 AG-325-L02 AG-333-D08 AG-439-I14 AH-321-N11 AG-896-L20 20.1945 20.0218 0.666667 0 70 0 210
14.5_19.5 AG-918-N23 AG-349-C11 AG-349-F22 AG-919-M05 AG-912-D17 AG-912-J06 AG-920-I07 AG-896-O16 AG-903-M21 AG-891-O15 18.3872 18.756 0.666667 0 70 0 155
14.5_19.5 AH-321-P04 AG-430-J07 AG-896-C18 AG-919-F03 AG-390-E04 AG-912-C08 AG-325-C18 AG-893-P10 AG-333-M03 AH-321-N11 20.1052 20.0581 0.666667 0 70 0 182
14.5_19.5 AG-453-G04 AG-911-E05 AG-912-D17 AH-287-I04 AG-910-C16 AG-905-B19 AH-287-E19 AG-917-N08 AG-920-I07 AG-916-L09 17.2607 17.6332 0.666667 0 70 0 210
14.5_19.5 AG-313-A04 AG-915-B23 AG-919-M05 AG-912-D17 AG-895-E15 AG-903-M21 AG-912-J06 AG-447-P19 AG-917-K20 AG-422-F15 20.1497 19.0761 0.666667 0 70 0 210
14.5_19.5 AG-918-M15 AG-912-J06 AG-916-L09 AG-913-I14 AG-917-N08 AG-895-E15 AG-903-M21 AG-919-I13 AG-915-B23 AG-447-P19 17.1798 17.5878 0.663492 1 69.6667 1 155
14.5_19.5 AG-430-K05 AG-333-M03 AG-390-O04 AH-324-K07 AG-325-L05 AG-390-M07 AG-920-C09 AH-321-K15 AG-908-O10 AG-422-C13 19.9708 19.8673 0.666667 0 70 0 182
14.5_19.5 AG-349-N13 AG-919-M05 AG-919-I13 AG-903-M21 AG-910-C16 AG-905-B19 AG-920-I07 AG-914-J05 AG-917-K20 AG-422-F15 18.186 18.618 0.666667 0 70 0 122
14.5_19.5 AG-333-D08 AG-325-C18 AH-324-I20 AH-321-K15 AG-894-B13 AG-894-I19 AG-912-C08 AG-390-M02 AH-321-L23 AG-916-A16 19.7497 19.6817 0.666667 0 70 0 210
14.5_19.5 AG-447-K09 AG-920-C09 AG-430-J07 AG-896-C18 AH-321-K15 AG-894-B13 AG-899-G02 AG-325-C18 AG-892-C08 AG-430-K05 19.9747 19.7325 0.666667 0 70 0 210
14.5_19.5 AG-422-C13 AG-410-L19 AH-321-K15 AH-287-E08 AG-422-J03 AH-321-G15 AG-325-L02 AG-892-C18 AG-337-G21 AG-325-L05 19.9864 19.5845 0.666667 0 70 0 210
14.5_19.5 AG-426-D09 AG-410-L19 AG-896-C18 AG-422-J03 AG-912-C08 AG-325-C18 AG-422-C13 AG-426-K19 AG-333-M03 AG-447-O23 20.0929 19.9206 0.666667 0 70 0 182
14.5_19.5 AG-447-K09 AG-349-E20 AG-390-E21 AG-422-C13 AG-325-C18 AG-333-D08 AG-333-M03 AH-324-K07 AG-325-L05 AG-422-G15 20.0619 19.9976 0.666667 0 70 0 147
14.5_19.5 AG-410-L19 AG-426-B11 AG-390-E04 AG-894-B13 AG-426-I10 AG-325-C18 AG-422-C13 AG-892-C08 AG-333-M03 AG-390-O04 20.0114 19.7403 0.666667 0 70 0 210
14.5_19.5 AG-430-K05 AG-390-O04 AG-422-C13 AG-390-E04 AG-894-B13 AG-359-F04 AH-287-E08 AG-325-L02 AG-333-D08 AG-390-E21 19.871 19.5552 0.666667 0 70 0 210
14.5_19.5 AG-410-K05 AH-324-K07 AG-325-L05 AG-447-O23 AG-911-P04 AG-333-D08 AG-410-L19 AH-321-K15 AG-905-A07 AG-426-K19 20.4204 20.3522 0.666667 0 70 0 155
14.5_19.5 AG-422-F15 AG-439-N16 AG-918-M15 AG-911-E05 AG-916-K14 AG-919-M05 AG-916-L09 AG-913-I14 AG-917-N08 AG-349-N13 17.4802 18.4572 0.666667 0 70 0 147
14.5_19.5 AG-915-B23 AH-287-I04 AG-912-D17 AG-912-J06 AG-916-L09 AG-917-N08 AG-911-G13 AG-918-N23 AG-447-P19 AG-349-N13 18.7638 18.7173 0.666667 0 70 0 182
14.5_19.5 AH-326-G20 AG-439-N16 AG-916-L09 AH-287-E19 AG-896-O16 AG-895-E15 AG-349-C11 AG-313-A04 AG-915-B23 AG-422-F15 20.8218 19.5423 0.666667 0 70 0 182
14.5_19.5 AH-326-G20 AG-919-F21 AG-349-F22 AG-919-I13 AG-912-J06 AG-917-N08 AG-911-G13 AG-903-M21 AG-914-J05 AG-453-G04 18.7824 18.9509 0.668254 3 66.6667 10 104
14.5_19.5 AG-439-N16 AG-918-M15 AG-911-E05 AG-912-D17 AH-287-I04 AG-903-M21 AG-905-B19 AG-313-A04 AG-915-B23 AG-918-N23 17.4189 18.6097 0.666667 0 70 0 210
14.5_19.5 AG-313-A04 AG-915-B23 AG-895-E15 AG-903-M21 AG-912-J06 AG-349-C11 AG-919-M05 AG-914-J05 AG-918-N23 AG-447-P19 19.0981 19.1295 0.666667 0 70 0 210
14.5_19.5 AG-430-K05 AH-324-K07 AG-349-E20 AG-325-J17 AG-325-L02 AG-410-L19 AG-914-L04 AG-896-C18 AH-321-K15 AG-915-J15 19.9728 19.9253 0.666667 0 70 0 210
14.5_19.5 AH-326-G20 AG-917-K20 AG-313-A04 AG-903-M21 AG-905-B19 AG-920-I07 AH-287-E19 AG-911-E05 AG-916-K14 AG-422-F15 20.0114 19.2298 0.666667 0 70 0 107
14.5_19.5 AG-453-G04 AG-422-F15 AG-915-B23 AG-895-E15 AG-917-N08 AG-916-K14 AG-919-I13 AG-911-E05 AG-918-N23 AG-891-O15 19.8468 19.0844 0.634921 10 66.6667 10 74
14.5_19.5 AG-918-N23 AG-439-N16 AG-916-K14 AG-912-D17 AH-287-I04 AG-895-E15 AG-903-M21 AG-910-C16 AG-917-N08 AH-326-G20 18.0338 18.8584 0.666667 0 70 0 210
14.5_19.5 AG-892-C18 AG-325-E08 AG-390-E21 AG-390-M07 AG-920-C09 AG-430-J07 AH-321-K15 AG-422-J03 AG-390-O04 AH-321-L23 19.3502 19.1693 0.666667 0 70 0 210
14.5_19.5 AG-447-N08 AG-447-K09 AG-920-C09 AG-896-C18 AH-321-K15 AG-349-O13 AG-909-I04 AG-447-B22 AH-324-K07 AG-422-G15 20.0349 20.0867 0.666667 0 70 0 182
14.5_19.5 AG-390-M07 AG-325-C18 AG-914-L04 AH-321-K15 AG-908-O10 AG-422-C13 AG-893-P10 AG-333-M03 AG-325-L05 AH-321-L23 19.836 19.7968 0.666667 0 70 0 210
14.5_19.5 AG-920-C09 AG-896-C18 AH-324-I20 AG-894-B13 AG-908-O10 AG-325-C18 AG-325-L02 AG-349-E20 AG-333-M03 AH-321-N11 20.2943 20.108 0.666667 0 70 0 182
14.5_19.5 AG-390-E21 AG-426-K19 AG-410-L19 AG-896-C18 AH-324-I20 AG-899-M07 AG-920-C09 AG-333-M03 AH-321-N11 AH-321-L23 20.0708 19.7504 0.666667 0 70 0 182
14.5_19.5 AG-333-M03 AG-390-O04 AG-422-G15 AG-892-C08 AG-914-L04 AG-896-C18 AH-324-I20 AG-894-B13 AG-390-E04 AG-894-I19 19.8973 19.876 0.666667 0 70 0 182
14.5_19.5 AG-410-K05 AG-333-M03 AG-325-L05 AG-422-G15 AG-447-K09 AG-919-C02 AH-321-P04 AG-430-J07 AG-422-J03 AG-915-C08 20.0125 19.7187 0.666667 0 70 0 182
14.5_19.5 AG-915-B23 AG-349-C11 AG-916-K14 AG-910-C16 AG-917-N08 AG-916-L09 AG-349-N13 AH-326-G20 AG-917-F18 AG-422-F15 20.1225 19.1443 0.666667 0 70 0 210
14.5_19.5 AG-447-K09 AG-390-D15 AG-916-K04 AG-325-L02 AG-920-C09 AH-324-I20 AG-426-I10 AG-908-O10 AG-333-D08 AG-430-K05 19.4229 19.3185 0.666667 0 70 0 182
14.5_19.5 AG-447-K09 AG-918-G06 AG-422-C13 AH-324-I20 AH-321-K15 AG-426-I10 AG-917-B15 AG-333-D08 AG-333-M03 AH-321-N11 20.2861 19.8576 0.666667 0 70 0 182
14.5_19.5 AG-333-D08 AH-324-I20 AG-894-B13 AG-426-I10 AG-349-E20 AG-325-E08 AG-896-K10 AG-426-K19 AH-321-N11 AG-325-L05 20.2161 19.998 0.666667 0 70 0 210
15.0_20.0 AG-430-K05 AG-325-L05 AG-447-N08 AG-915-C08 AG-914-L04 AG-915-K17 AH-287-E08 AG-908-O10 AG-447-P22 AG-337-G21 19.869 19.7313 0.666667 0 70 0 210
15.0_20.0 AG-313-A04 AG-911-E05 AG-916-K14 AG-912-D17 AG-349-F22 AH-287-I04 AG-916-L09 AH-287-E19 AG-896-O16 AG-903-M21 17.8081 18.2248 0.666667 0 70 0 182
15.0_20.0 AG-447-P19 AG-349-F22 AG-919-M05 AG-919-I13 AG-916-L09 AH-287-E19 AG-917-N08 AG-911-G13 AH-326-G20 AG-917-F18 19.553 19.0617 0.669841 5 64.3333 17 84
15.0_20.0 AG-410-K05 AH-324-K07 AG-422-G15 AG-447-N08 AG-349-E20 AG-426-B11 AG-390-E04 AG-422-J03 AH-324-I20 AG-430-J07 19.8973 19.6956 0.666667 0 70 0 182
15.0_20.0 AG-410-K05 AH-324-K07 AG-447-K09 AG-390-E21 AG-426-K19 AG-422-C13 AG-410-L19 AG-908-O10 AG-426-I10 AG-333-D08 20.0677 19.7557 0.666667 0 70 0 210
15.0_20.0 AG-453-G04 AG-915-B23 AG-349-F22 AG-912-D17 AH-287-E19 AG-917-N08 AG-896-O16 AG-914-J05 AG-918-N23 AG-349-N13 19.7886 19.4464 0.666667 0 70 0 182
15.0_20.0 AG-915-B23 AG-911-E05 AG-912-D17 AG-349-C11 AG-912-J06 AG-916-L09 AG-920-I07 AG-895-E15 AG-914-J05 AG-918-N23 17.6275 18.111 0.666667 0 70 0 182
15.0_20.0 AG-422-F15 AG-447-P19 AG-349-N13 AG-313-A04 AG-349-C11 AG-349-F22 AG-916-K14 AG-895-E15 AH-287-E19 AG-911-G13 20.0714 19.7978 0.690476 0 65 15 107
15.0_20.0 AG-915-B23 AG-349-C11 AG-919-M05 AG-919-I13 AG-916-L09 AH-287-E19 AG-917-N08 AG-896-O16 AG-918-N23 AG-891-O15 18.9427 18.7381 0.666667 0 70 0 182
15.0_20.0 AG-917-K20 AG-349-C11 AG-349-F22 AG-911-E05 AG-916-K14 AG-912-D17 AG-916-L09 AH-287-E19 AG-895-E15 AG-914-J05 18.4609 18.4701 0.666667 0 70 0 210
15.0_20.0 AG-447-L14 AG-333-D08 AG-410-L19 AG-914-L04 AH-321-K15 AG-894-B13 AH-287-E08 AG-908-O10 AH-321-P04 AG-325-C18 20.0329 19.8346 0.666667 0 70 0 210
15.0_20.0 AG-313-A04 AG-916-K14 AG-912-D17 AG-919-I13 AG-919-M05 AG-912-J06 AG-920-I07 AG-911-G13 AG-895-E15 AG-918-N23 17.8404 18.7331 0.666667 0 70 0 182
15.0_20.0 AG-447-N08 AG-410-L19 AG-914-L04 AG-896-C18 AG-325-C18 AG-892-C18 AH-321-N11 AH-324-K07 AG-390-O04 AG-447-O23 20.0677 20.083 0.666667 0 70 0 140
15.0_20.0 AG-333-D08 AG-920-C09 AH-324-I20 AG-894-B13 AH-287-E08 AG-349-E20 AG-439-I14 AG-333-M03 AH-321-N11 AG-447-O23 20.2661 20.1274 0.666667 0 70 0 147
15.0_20.0 AG-447-N08 AG-325-L02 AG-426-B11 AG-390-E04 AG-895-J19 AH-321-K15 AG-430-J07 AG-892-C18 AG-390-M02 AH-321-L23 19.9918 19.7084 0.666667 0 70 0 210
15.0_20.0 AG-447-K09 AG-390-M07 AG-916-K04 AG-892-C08 AG-430-J07 AH-321-K15 AH-287-E08 AG-894-I19 AG-390-O04 AH-324-K07 19.6308 19.6294 0.666667 0 70 0 210
15.0_20.0 AG-447-L14 AG-915-C08 AG-892-C08 AH-324-K11 AG-426-B11 AG-908-O10 AG-894-L13 AH-324-I20 AG-390-O04 AG-447-O23 20.3223 20.1401 0.666667 0 70 0 210
15.0_20.0 AG-917-F18 AG-916-K14 AG-912-D17 AG-919-M05 AG-912-J06 AG-916-L09 AG-917-N08 AG-895-E15 AG-914-J05 AG-453-G04 17.2727 18.2232 0.666667 0 70 0 182
15.0_20.0 AG-390-M07 AG-426-K19 AG-920-C09 AG-426-B11 AH-324-K11 AG-422-C13 AG-325-L02 AG-333-M03 AG-390-O04 AG-422-G15 20.2147 20.074 0.666667 0 70 0 182
