range sp1 sp2 sp3 sp4 sp5 sp6 sp7 sp8 sp9 sp10 median_gnd mean_gnd qdist qscore_resolved qscore_unresolved both_resolved both_unresolved
0.5_3.5 AG-913-A04 AG-916-J06 AG-915-P01 AG-359-C09 AG-918-L07 AG-911-B23 AG-913-C03 AG-917-C08 AG-917-P07 AG-414-L09 3.42949 3.34317 0.685714 0 66 12 131
0.5_3.5 AG-359-M21 AG-359-C09 AG-414-O11 AG-915-P01 AG-918-L07 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-414-L09 3.55639 3.37126 0.666667 0 70 0 147
0.5_3.5 AG-915-E06 AG-905-A10 AG-903-D02 AG-912-F16 AG-894-C14 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-920-O11 2.85526 2.72807 0.666667 0 70 0 182
0.5_3.5 AG-915-E06 AG-912-F16 AG-916-M06 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-920-K11 AG-359-E10 AG-903-K22 2.85018 2.72394 0.666667 0 70 0 182
0.5_3.5 AG-915-E06 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 AG-918-L21 AG-893-N22 AG-917-I17 AG-359-E10 AG-903-K22 2.9332 2.74025 0.666667 0 70 0 155
0.5_3.5 AG-915-E06 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 AG-918-L21 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 2.85018 2.67277 0.666667 0 70 0 155
0.5_3.5 AG-915-E06 AG-912-F16 AG-916-M06 AG-903-D02 AG-894-C14 AG-918-L21 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 2.83667 2.6667 0.690476 0 65 15 107
0.5_3.5 AG-915-E06 AG-916-M06 AG-903-D02 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-920-O11 2.8474 2.75187 0.666667 0 70 0 182
0.5_3.5 AG-915-E06 AG-912-F16 AG-916-M06 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-917-I17 AG-359-E10 AG-903-K22 2.85526 2.7741 0.666667 0 70 0 155
0.5_3.5 AG-915-P01 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 AG-414-L09 3.2767 3.2071 0.666667 0 70 0 110
0.5_3.5 AG-913-A04 AG-916-J06 AG-359-M21 AG-911-B04 AG-918-L07 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-P07 AG-414-L09 3.40477 3.31183 0.666667 0 70 0 147
0.5_3.5 AG-913-A04 AG-916-J06 AG-911-B04 AG-414-O11 AG-359-M21 AG-915-P01 AG-911-B23 AG-894-M23 AG-917-C08 AG-414-L09 3.61096 3.44632 0.666667 0 70 0 182
0.5_3.5 AG-913-A04 AG-359-C09 AG-414-O11 AG-911-B04 AG-359-M21 AG-915-P01 AG-918-L07 AG-911-B23 AG-894-M23 AG-913-C03 3.38949 3.24895 0.666667 0 70 0 120
0.5_3.5 AG-913-A04 AG-916-J06 AG-915-P01 AG-911-B04 AG-414-O11 AG-918-L07 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-C11 3.16452 3.13297 0.666667 0 70 0 147
0.5_3.5 AG-894-C14 AG-918-L21 AG-912-F16 AG-916-M06 AG-903-D02 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 AG-920-O11 2.5628 2.62294 0.666667 0 70 0 182
0.5_3.5 AG-915-E06 AG-912-F16 AG-916-M06 AG-903-D02 AG-918-L21 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-903-K22 2.8922 2.80253 0.666667 0 70 0 155
0.5_3.5 AG-915-E06 AG-912-F16 AG-916-M06 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-920-K11 AG-359-E10 AG-920-O11 2.85018 2.72886 0.666667 0 70 0 182
0.5_3.5 AG-915-E06 AG-905-A10 AG-916-M06 AG-912-F16 AG-918-L21 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-903-K22 2.85769 2.74307 0.666667 0 70 0 155
0.5_3.5 AG-915-E06 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 AG-918-L21 AG-893-N22 AG-917-I17 AG-920-K11 AG-903-K22 2.88944 2.71452 0.666667 0 70 0 155
0.5_3.5 AG-911-B04 AG-414-O11 AG-359-M21 AG-918-L07 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 AG-916-J06 3.22961 3.15651 0.666667 0 70 0 120
0.5_3.5 AG-913-A04 AG-359-C09 AG-414-O11 AG-911-B04 AG-359-M21 AG-915-P01 AG-918-L07 AG-911-B23 AG-917-C08 AG-917-C11 3.3792 3.25983 0.666667 0 70 0 147
0.5_3.5 AG-894-C14 AG-918-L21 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 AG-893-N22 AG-918-K09 AG-920-K11 AG-920-O11 2.85018 2.60975 0.666667 0 70 0 182
000_3.0 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 AG-894-C14 AG-893-N22 AG-918-K09 AG-359-E10 AG-920-O11 AG-903-K22 2.92611 2.64777 0.577778 28 60.6667 28 155
